Date,Open,High,Low,Close
18-July-2024,36619.36,36703.13,36335.22,36662.75
19-July-2024,36708.07,36708.07,36067.01,36100.97
22-July-2024,35958.50,36338.73,35817.53,36241.36
23-July-2024,36378.83,36386.09,35251.61,36120.05
24-July-2024,36139.06,36277.41,36054.61,36204.55
25-July-2024,35966.98,36235.30,35910.37,36199.79
26-July-2024,36307.23,36822.66,36281.36,36795.89
29-July-2024,37006.20,37120.76,36852.34,36963.28
30-July-2024,37017.92,37171.52,36939.02,37033.62
31-July-2024,37178.13,37202.61,37064.72,37172.81
1-August-2024,37296.23,37338.48,37006.90,37132.84
2-August-2024,36802.66,36950.24,36695.19,36747.98
5-August-2024,35566.26,36134.37,35394.27,35615.95
6-August-2024,35740.46,36202.60,35410.95,35461.87
7-August-2024,35968.47,36143.01,35798.32,36117.84
8-August-2024,36154.86,36188.76,35838.73,35872.01
9-August-2024,36306.91,36310.62,36129.98,36210.76
12-August-2024,35994.98,36320.52,35949.63,36201.68
13-August-2024,36259.57,36269.64,35835.31,35861.57
14-August-2024,35963.88,35963.88,35711.09,35810.03
16-August-2024,36086.59,36439.03,35941.76,36416.03
19-August-2024,36579.83,36630.11,36489.17,36543.64
20-August-2024,36691.61,36782.44,36602.66,36766.36
21-August-2024,36777.26,36922.88,36730.02,36903.21
22-August-2024,37066.92,37068.73,36974.25,37012.52
23-August-2024,37095.64,37107.60,36943.00,36972.80
26-August-2024,37142.32,37223.59,37055.60,37195.12
27-August-2024,37257.48,37310.85,37195.05,37257.85
28-August-2024,37338.79,37376.32,37175.01,37276.16
29-August-2024,37309.08,37352.52,37097.26,37302.50
30-August-2024,37489.00,37517.84,37373.89,37459.06
2-September-2024,37621.50,37621.51,37402.88,37502.59
3-September-2024,37596.85,37601.04,37524.64,37548.28
4-September-2024,37157.61,37507.69,37156.49,37487.02
5-September-2024,37601.71,37635.72,37476.54,37496.80
6-September-2024,37528.96,37548.67,36983.31,37054.24
9-September-2024,36974.84,37139.62,36766.44,37097.47
10-September-2024,37237.04,37417.13,37138.37,37313.25
11-September-2024,37366.22,37436.06,37091.18,37140.18
12-September-2024,37355.85,37764.11,37242.73,37720.89
13-September-2024,37820.07,37820.07,37696.80,37757.29
16-September-2024,37878.50,37905.31,37736.46,37804.18
