TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-23,2026-07-23,CM,BSE,STK,500002,INE117A01022,ABB,A,,,,,ABB INDIA LIMITED,7512.40,7682.85,7500.00,7523.85,7525.00,7507.30,,7528.00,,,19830,150543476.00,3108,F1,1,,,,,
2026-07-23,2026-07-23,CM,BSE,STK,500003,INE208C01025,AEGISLOG,A,,,,,AEGIS LOGISTICS LTD.,1352.00,1409.85,1341.05,1369.75,1369.75,1350.95,,1369.00,,,77701,107242303.00,2316,F1,1,,,,,
2026-07-23,2026-07-23,CM,BSE,STK,500008,INE885A01032,ARE&M,A,,,,,Amara Raja Energy & Mobility L,896.65,904.35,875.00,876.45,876.45,902.45,,876.40,,,78814,69974525.00,3811,F1,1,,,,,
2026-07-23,2026-07-23,CM,BSE,STK,500009,INE432A01017,AMBALALSA,B,,,,,AMBALAL SARABHAI ENTERPRISES L,30.86,32.86,30.41,32.67,32.80,31.49,,32.66,,,75282,2419049.00,689,F1,1,,,,,
2026-07-23,2026-07-23,CM,BSE,STK,500012,INE714B01016,ANDHRAPET,X,,,,,ANDHRA PETROCHEMICALS LTD.,49.55,51.00,48.51,48.85,48.85,49.74,,48.85,,,51630,2561949.00,472,F1,1,,,,,
2026-07-23,2026-07-23,CM,BSE,STK,500013,INE436A01026,ANSALAPI,Z,,,,,ANSAL PROPERTIES & INFRASTRUCT,3.64,3.64,3.57,3.57,3.57,3.64,,3.28,,,9863,35364.00,18,F1,1,,,,,
2026-07-23,2026-07-23,CM,BSE,STK,500014,INE096A01010,UTIQUE,X,,,,,UTIQUE ENTERPRISES LIMITED,4.06,4.06,3.81,3.90,3.97,3.83,,3.90,,,3382,13126.00,39,F1,1,,,,,
2026-07-23,2026-07-23,CM,BSE,STK,500016,INE957C01019,ARUNAHTEL,X,,,,,ARUNA HOTELS LTD.,7.55,7.64,6.92,7.61,7.62,7.40,,7.61,,,11614,87242.00,34,F1,1,,,,,
2026-07-23,2026-07-23,CM,BSE,STK,500020,INE032A01023,BOMDYEING,B,,,,,BOMBAY DYEING & MFG.CO.LTD.,120.10,125.55,119.05,120.45,120.45,120.45,,120.40,,,47732,5833915.00,577,F1,1,,,,,
2026-07-23,2026-07-23,CM,BSE,STK,500023,INE363A01022,ASIANHOTNR,B,,,,,ASIAN HOTELS (NORTH) LIMITED,333.25,342.40,286.55,293.40,286.55,310.05,,291.10,,,8039,2522655.00,633,F1,1,,,,,
